
{ time: '12:36:13', cpu: 0, ram: 9.34, disk: 1, smart: 'OK', cpuTemp: 40.0, gpuTemp: 46, netRx: 1, netTx: 2 },
{ time: '12:36:14', cpu: 0, ram: 9.31, disk: 1, smart: 'OK', cpuTemp: 40.0, gpuTemp: 46, netRx: 0, netTx: 0 },
{ time: '12:36:15', cpu: 0.1, ram: 9.32, disk: 1, smart: 'OK', cpuTemp: 40.0, gpuTemp: 46, netRx: 0, netTx: 2 },
{ time: '12:36:16', cpu: 0, ram: 9.27, disk: 1, smart: 'OK', cpuTemp: 40.0, gpuTemp: 46, netRx: 0, netTx: 0 },
{ time: '12:36:17', cpu: 0, ram: 9.30, disk: 1, smart: 'OK', cpuTemp: 40.0, gpuTemp: 46, netRx: 0, netTx: 0 },
{ time: '12:36:19', cpu: 0.4, ram: 9.32, disk: 1, smart: 'OK', cpuTemp: 40.2, gpuTemp: 46, netRx: 0, netTx: 0 },
{ time: '12:36:20', cpu: 0.35, ram: 9.35, disk: 1, smart: 'OK', cpuTemp: 40.2, gpuTemp: 47, netRx: 0, netTx: 2 },
{ time: '12:36:21', cpu: 0.05, ram: 9.34, disk: 1, smart: 'OK', cpuTemp: 40.0, gpuTemp: 47, netRx: 0, netTx: 0 },
{ time: '12:36:22', cpu: 0, ram: 9.35, disk: 1, smart: 'OK', cpuTemp: 40.0, gpuTemp: 47, netRx: 0, netTx: 0 },
{ time: '12:36:23', cpu: 0.1, ram: 9.37, disk: 1, smart: 'OK', cpuTemp: 40.0, gpuTemp: 47, netRx: 1, netTx: 2 },
{ time: '12:36:24', cpu: 0, ram: 9.37, disk: 1, smart: 'OK', cpuTemp: 40.0, gpuTemp: 47, netRx: 0, netTx: 0 },
{ time: '12:36:25', cpu: 0, ram: 9.39, disk: 1, smart: 'OK', cpuTemp: 40.0, gpuTemp: 47, netRx: 0, netTx: 0 },
{ time: '12:36:26', cpu: 0, ram: 9.36, disk: 1, smart: 'OK', cpuTemp: 40.0, gpuTemp: 47, netRx: 0, netTx: 2 },
{ time: '12:36:27', cpu: 0, ram: 9.37, disk: 1, smart: 'OK', cpuTemp: 40.0, gpuTemp: 47, netRx: 0, netTx: 0 },
{ time: '12:36:28', cpu: 0, ram: 9.39, disk: 1, smart: 'OK', cpuTemp: 40.0, gpuTemp: 47, netRx: 0, netTx: 0 },
{ time: '12:36:29', cpu: 0.1, ram: 9.37, disk: 1, smart: 'OK', cpuTemp: 40.0, gpuTemp: 47, netRx: 0, netTx: 2 },
{ time: '12:36:30', cpu: 0, ram: 9.37, disk: 1, smart: 'OK', cpuTemp: 40.0, gpuTemp: 47, netRx: 0, netTx: 0 },
{ time: '12:36:31', cpu: 0.15, ram: 9.36, disk: 1, smart: 'OK', cpuTemp: 40.1, gpuTemp: 48, netRx: 0, netTx: 2 },
{ time: '12:36:32', cpu: 0.05, ram: 9.37, disk: 1, smart: 'OK', cpuTemp: 40.0, gpuTemp: 48, netRx: 0, netTx: 0 },
{ time: '12:36:33', cpu: 0.05, ram: 9.39, disk: 1, smart: 'OK', cpuTemp: 40.0, gpuTemp: 49, netRx: 0, netTx: 0 },
{ time: '12:36:34', cpu: 0.2, ram: 9.37, disk: 1, smart: 'OK', cpuTemp: 40.1, gpuTemp: 49, netRx: 0, netTx: 2 },
{ time: '12:36:35', cpu: 0, ram: 9.39, disk: 1, smart: 'OK', cpuTemp: 40.0, gpuTemp: 48, netRx: 0, netTx: 0 },
{ time: '12:36:36', cpu: 0, ram: 9.36, disk: 1, smart: 'OK', cpuTemp: 40.0, gpuTemp: 48, netRx: 0, netTx: 0 },
{ time: '12:36:37', cpu: 0.05, ram: 9.35, disk: 1, smart: 'OK', cpuTemp: 40.0, gpuTemp: 48, netRx: 0, netTx: 2 },
{ time: '12:36:38', cpu: 0.05, ram: 9.37, disk: 1, smart: 'OK', cpuTemp: 40.0, gpuTemp: 48, netRx: 0, netTx: 0 },
{ time: '12:36:40', cpu: 0.2, ram: 9.37, disk: 1, smart: 'OK', cpuTemp: 40.1, gpuTemp: 48, netRx: 0, netTx: 0 },
{ time: '12:36:41', cpu: 0.05, ram: 9.37, disk: 1, smart: 'OK', cpuTemp: 40.0, gpuTemp: 48, netRx: 0, netTx: 2 },
{ time: '12:36:42', cpu: 0.1, ram: 9.37, disk: 1, smart: 'OK', cpuTemp: 40.0, gpuTemp: 48, netRx: 0, netTx: 0 },
{ time: '12:36:43', cpu: 0, ram: 9.40, disk: 1, smart: 'OK', cpuTemp: 40.0, gpuTemp: 48, netRx: 0, netTx: 0 },
{ time: '12:36:44', cpu: 0.1, ram: 9.37, disk: 1, smart: 'OK', cpuTemp: 40.0, gpuTemp: 48, netRx: 0, netTx: 2 },
